"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 06 17:55:48 GMT 2021","Mon Sep 06 17:55:52 GMT 2021","4671","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"passed","Mon Sep 06 17:55:18 GMT 2021","Mon Sep 06 17:55:35 GMT 2021","16498","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
"passed","Mon Sep 06 17:55:52 GMT 2021","Mon Sep 06 17:55:56 GMT 2021","3848","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
"passed","Mon Sep 06 17:55:43 GMT 2021","Mon Sep 06 17:55:48 GMT 2021","4341","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()",""
"passed","Mon Sep 06 17:55:56 GMT 2021","Mon Sep 06 17:56:01 GMT 2021","4780","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()",""
"passed","Mon Sep 06 17:56:01 GMT 2021","Mon Sep 06 17:56:05 GMT 2021","3892","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()",""
"passed","Mon Sep 06 17:55:39 GMT 2021","Mon Sep 06 17:55:43 GMT 2021","4608","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()",""
"broken","Mon Sep 06 17:56:05 GMT 2021","Mon Sep 06 17:56:10 GMT 2021","5668","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
"passed","Mon Sep 06 17:55:35 GMT 2021","Mon Sep 06 17:55:39 GMT 2021","3786","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
